date,news
2022-01-11,"[""Ticker Security Last Change Change % AMZN AMAZON.COM INC. 3,307.24 +77.52 +2.40%\n\nGET FOX BUSINESS ON THE GO BY CLICKING HERE\n\nThe NLRB will mail out ballots to Amazon's Bessemer employees on Feb. 4, and the ballots must be received by the federal labor board by March 25."", 'Amazon.com Inc. - The company offers a wide range of secured data centers, which includes Amazon EC2, Amazon Simple Storage Services (S3), Amazon Aurora, Amazon DynamoDB, Amazon RDS, AWS Lambda, and Amazon VPC.', 'structure Fragmented YoY growth (%) 18.30 Regional analysis North America, APAC, Europe, South America, and MEA Performing market contribution North America at 35% Key consumer countries US, China, UK, Australia, Japan, and Germany Competitive landscape Leading companies, Competitive strategies, Consumer engagement scope Companies profiled Alphabet Inc., Amazon.com', 'Inc., Cisco Systems Inc., Equinix Inc., Microsoft Corp., NTT DATA Corp., Oracle Corp., SAP SE, Huawei Investment & Holding Co.', ""A federal labor board has scheduled a second union election at an Amazon.com Inc. facility in Bessemer, Ala., after a board representative found Amazon violated labor law during last year's vote in which workers sided against unionization.""]"
2022-01-12,"['Shares reduced by 3.64% Amazon.com Inc (AMZN) - 75,682 shares, 2.43% of the total portfolio. Shares reduced by 4.55% Alphabet Inc (GOOGL) - 58,244 shares, 1.63% of the total portfolio. Shares reduced by 4.42% Meta Platforms Inc (FB) - 481,750 shares, 1.56% of the total portfolio.', 'CVX, FAST, XOM, TFC, IFF, MRK, C, NEE, TMO, WFC, PG, VOD, HSIC, CTVA, BBL, ADI, ALB, K, COP, BP, AMAT,\n\nAAPL, MSFT, IP, LOW, BAC, FB, F, HD, PSX, CVS, COST, GOOGL, RDS.B, T, UPS, GM, CVX, FAST, XOM, TFC, IFF, MRK, C, NEE, TMO, WFC, PG, VOD, HSIC, CTVA, BBL, ADI, ALB, K, COP, BP, AMAT, Sold Out: BK, SLVM,\n\nInvestment company Current Portfolio ) buys Amazon.com', 'Inc, Teleflex Inc, Walmart Inc, Tesla Inc, The Hershey Co, sells Bank of New York Mellon Corp, Sylvamo Corp during the 3-months ended 2021Q4, according to the most recent filings of the investment company, Bridge Creek Capital Management LLC.', 'Bridge Creek Capital Management LLC added to a holding in Amazon.com Inc by 30.33%. The purchase prices were between $3189.78 and $3696.06, with an estimated average price of $3427.48. The stock is now traded at around $3304.140000. The impact to a portfolio due to this purchase was 0.23%. The holding were 868 shares as of 2021-12-31.', 'Bridge Creek Capital Management LLC Buys Amazon.com Inc, Teleflex Inc, Walmart Inc, Sells Bank of New York Mellon Corp, Sylvamo Corp', '., Walt Disney Co.’s ESPN and Amazon.com Inc., which have made long-term bets on the sport’s popularity. They agreed last year to spend $105 billion on NFL broadcast rights for another decade.\n\nThe viewer numbers recovered from a 7% last drop season, the first decline in three years.']"
2022-01-13,"['MSFT, -4.23% , Amazon.com Inc. AMZN, -2.42% , NVIDIA Corp. NVDA, -5.09% and Tesla Inc. TSLA, -6.75% Goldman pegged the group as representing 27% of the index’s market capitalization, but also pointed to strong returns for the index last year that were broad.\n\nThe S&P 500 SPX produced a total return of 28.7% in 2021, FactSet data show.', 'Amazon.com Inc. - The company is involved in offering a wide range of products such as snack foods, pantry staples, beverages, breakfast foods, and many more.\n\nThe company is involved in offering a wide range of products such as snack foods, pantry staples, beverages, breakfast foods, and many more.', 'growth (%) 23.29 Regional analysis APAC, Europe, North America, South America, and MEA Performing market contribution APAC at 55% Key consumer countries China, UK, US, Japan, and France Competitive landscape Leading companies, competitive strategies, consumer engagement scope Companies profiled Albertsons Companies Inc., Alibaba Group Holding Ltd., Amazon.com', 'Inc., Ebates Performance Marketing Inc., Ocado Retail Ltd., SPAR International, Target Corp., Tesco Plc, and Walmart Inc.', 'Amazon.com Inc.\n\nMicrosoft Corp.\n\nPalantir Technologies Inc.\n\nSalesforce.com Inc.\n\nSAP SE\n\nSAS Institute Inc.\n\nTata Consultancy Services Ltd.\n\nInternational Business Machines Corp.\n\nSubscribe to our ""Lite Plan"" billed annually at USD 3000 to join a community, who are eligible to view 3 reports monthly and download 3 reports annually.', 'growth (%) 32.12 Regional analysis North America, APAC, Europe, South America, and MEA Performing market contribution North America at 68% Key consumer countries US, China, UK, Germany, and Japan Competitive landscape Leading companies, competitive strategies, consumer engagement scope Companies profiled Alibaba Group Holding Ltd., Alphabet Inc., Amazon.com', 'Inc., Microsoft Corp., Palantir Technologies Inc., Salesforce.com Inc., SAP SE, SAS Institute Inc., Tata Consultancy Services Ltd., and International Business Machines Corp.', '., Amazon.com Inc. & Microsoft Corp. | 17000+ Technavio Reports']"
2022-01-14,"[""Walt Disney Co, AT&T Inc's WarnerMedia, Amazon.com Inc, and Apple Inc are among the rivals pouring billions into new programming.\n\nNetflix has added customers despite prior price increases, which shows its members have been willing to accept higher costs, Evercore ISI analyst Mark Mahaney said."", 'He lost most of his fortune in the late 2000s, but made a remarkable comeback thanks to his investment in Amazon (AMZN) - Get Amazon.com, Inc. Report and bitcoin.\n\n""I thought 50% is a good stopping point for me,"" he said, ""but if it goes all the way to $80-85k, I\'ll buy it all the way down.""', 'Netflix is spending more on content to attract and keep subscribers as viewers have more content than ever to choose from thanks to Walt Disney Co. ’s Disney+, AT&T Inc.’s HBOMax and Amazon.com Inc.’s Prime Video. Earlier More Netflix viewers watched dubbed versions of the South Korean drama “Squid Game” than subtitled versions.']"
2022-01-15,"[""Alphabet Inc's Google (GOOGL.O) on Friday said it was temporarily mandating weekly COVID-19 tests for people entering its U.S. offices. read more\n\nCLICK HERE TO GET THE FOX NEWS APP\n\nA report by The Information said Amazon.com Inc has offered its U.S. warehouse workers $40 to get a booster shot."", 'Small-Cap versus Large-Cap Stocks\n\nWhile large-cap or blue-chip stocks like Amazon.com, Inc. (NASDAQ:AMZN), Intel Corporation (NASDAQ:INTC), Apple Inc. (NASDAQ:AAPL), and JPMorgan Chase & Company (NYSE:JPM), among others, have typically dominated investor circles in the past, 2020 showed the rise of penny stocks and their popularity.', 'Like Amazon.com, Inc. (NASDAQ:AMZN), Intel Corporation (NASDAQ:INTC), Apple Inc. (NASDAQ:AAPL), and JPMorgan Chase & Company (NYSE:JPM), U.S. Global Investors, Inc. (NASDAQ:GROW) is a stock investors should be on the lookout for today.\n\nArtko Capital, an investment management company, mentioned U.S. Global Investors, Inc.', 'Like Amazon.com, Inc. (NASDAQ:AMZN), Intel Corporation (NASDAQ:INTC), Apple Inc. (NASDAQ:AAPL), and JPMorgan Chase & Company (NYSE:JPM), Nordic American Tankers Ltd (NYSE:NAT) is a stock elite hedge funds are piling into.\n\nClick to continue reading and see 5 Penny Stocks that Pay Dividends.', 'A report by The Information said Amazon.com Inc has offered its U.S. warehouse workers $40 to get a booster shot.\n\n(Reporting by Maria Ponnezhath in Bengaluru; Editing by Leslie Adler)']"
2022-01-16,"['., a U.S. maker of commercial EVs, received approval in November to sell light trucks in Japan, and will have its vans used by Amazon Fleet, Amazon.com Inc.’s local delivery partner, and Hana Cupid, Japan’s largest floral gifting association.', ""The investment firm made double-digit returns funding more than $500 million of 'buy now, pay later' and other consumer loans used for purchases on digital marketplaces like Amazon.com Inc., people familiar with the trade said."", 'During her time in the role, Walmart launched Walmart +, a membership service intended to rival Amazon.com Inc.’s Prime.\n\nIn November, Walmart said that its finance chief, Brett Biggs, a 22-year company veteran, planned to leave the post in early 2023 and that it was searching for his replacement.']"
2022-01-17,"['With that said, Netflix has some work to do in order to fend off competition from the likes of Amazon (AMZN) - Get Amazon.com, Inc. Report, Disney (DIS) - Get Walt Disney Company Report, Apple (AAPL) - Get Apple Inc. Report, HBO Max, Peacock (CMCSA) - Get Comcast Corporation Class A Report and Paramount+ (VIACA) - Get ViacomCBS Inc.', 'REUTERS/Lawrence Bryant/File Photo\n\nBy Rich McKay\n\n(Reuters) - The family of an Amazon.com (NASDAQ: ) delivery truck driver in Illinois who died in December when a warehouse was destroyed by a swarm of tornadoes that killed six people there, filed a lawsuit against the online retailer on Monday over his death.', 'The report analyzes the top consumer electronics extended warranty companies operating in the market such as Amazon.com, Inc., AmTrust Financial, ASSURANT, INC., Asurion, AXA, Go Warranty & Services LLP, OneAssist Consumer Solutions Pvt. Ltd., OnPoint Warranty, Securranty, and SquareTrade, Inc.', 'Amazon.com, Inc.\n\n9.1.1. Company overview\n\n9.1.2. Key Executives\n\n9.1.3. Company snapshot\n\n9.1.4. Product portfolio\n\n9.1.5. Business performance\n\n9.1.6. Key strategic moves and developments\n\n9.2. AMTRUST FINANCIAL\n\n9.2.1. Company overview\n\n9.2.2. Key executive\n\n9.2.3. Company snapshot\n\n9.2.4. Product portfolio\n\n9.2.5.']"
2022-01-18,"['Searcy Financial Services Inc initiated holding in Amazon.com Inc. The purchase prices were between $3189.78 and $3696.06, with an estimated average price of $3427.48. The stock is now traded at around $3178.350000. The impact to a portfolio due to this purchase was 0.16%. The holding were 106 shares as of 2021-12-31.', 'Shares reduced by 0.52% Amazon.com Inc (AMZN) - 12,556 shares, 4.04% of the total portfolio. Shares added by 4.75% Palo Alto Networks Inc (PANW) - 71,748 shares, 3.86% of the total portfolio. Shares reduced by 0.54% Alphabet Inc (GOOG) - 13,325 shares, 3.72% of the total portfolio.', 'Shares reduced by 2.73% Amazon.com Inc (AMZN) - 2,265 shares, 4.07% of the total portfolio. Shares reduced by 2.37%\n\nAsset Planning Services Inc initiated holding in TC Energy Corp. The purchase prices were between $45.47 and $55.15, with an estimated average price of $49.41. The stock is now traded at around $50.520000.']"
2022-01-19,"[', ON, TYO, Added Positions: AMZN, MSFT, UNH, GDX, XLV, XOM, KL, ICLN, INDA, SILJ, VAW, XLF,\n\nAMZN, MSFT, UNH, GDX, XLV, XOM, KL, ICLN, INDA, SILJ, VAW, XLF, Reduced Positions: SOFI, SOFI, AAPL, GLD, IVOL, SQ,\n\nSOFI, SOFI, AAPL, GLD, IVOL, SQ, Sold Out: MUJ, TEAM, ADBE, BNKU, BLK, TSP, KWEB,\n\nInvestment company Current Portfolio ) buys Compass Inc, Amazon.com', 'Inc, Microsoft Corp, UnitedHealth Group Inc, VanEck Gold Miners ETF, sells SoFi Technologies Inc, SoFi Technologies Inc, BlackRock MuniHoldings New Jersey Quality Fund Inc, Atlassian Corporation PLC, Adobe Inc during the 3-months ended 2021Q4, according to the most recent filings of the investment company, Belmont Capital, LLC.', 'Belmont Capital, LLC added to a holding in Amazon.com Inc by 200.00%. The purchase prices were between $3189.78 and $3696.06, with an estimated average price of $3427.48. The stock is now traded at around $3125.980000. The impact to a portfolio due to this purchase was 0.01%. The holding were 3 shares as of 2021-12-31.', 'Belmont Capital, LLC Buys Compass Inc, Amazon.com Inc, Microsoft Corp, Sells SoFi Technologies Inc, SoFi Technologies Inc, BlackRock MuniHoldings New Jersey Quality Fund Inc', 'BLK, WTW, SBUX, ABG,\n\nAMZN, AAPL, FB, EVA, CWEN, ADBE, OGN, MRK, AMT, BLK, WTW, SBUX, ABG, Sold Out: DLTR, NVDA, BMY, V, O, ALL, PYPL, VZ, MCK, QSR, TD, XYLD, D, ACGL, WAB, CAH,\n\nInvestment company Current Portfolio ) buys Fidelity National Financial Inc, Quanta Services Inc, Global Payments Inc, AmerisourceBergen Corp, Jack In The Box Inc, sells Amazon.com', 'Inc, Apple Inc, Meta Platforms Inc, Dollar Tree Inc, NVIDIA Corp during the 3-months ended 2021Q4, according to the most recent filings of the investment company, Community Capital Management, LLC.', 'Community Capital Management, LLC Buys Fidelity National Financial Inc, Quanta Services Inc, Global Payments Inc, Sells Amazon.com Inc, Apple Inc, Meta Platforms Inc', 'The long-awaited, expensive Middle-earth fantasy series from Amazon.com Inc has a name: ""The Lord of the Rings: The Rings of Power.""\n\nAmazon\'s Prime Video revealed the full name of the fantasy series on Wednesday ahead of its planned streaming debut of September 2.']"
2022-01-20,"[""The biggest technology companies, including Amazon.com Inc, Meta Platforms Inc's Facebook and Apple Inc, have been under pressure in Congress over allegations they abused their outsized market power.\n\nA long list of bills have been introduced aimed at reining them in, but none have become law."", 'Reitz Capital Advisors LLC initiated holding in Amazon.com Inc. The purchase prices were between $3189.78 and $3696.06, with an estimated average price of $3427.48. The stock is now traded at around $3033.350000. The impact to a portfolio due to this purchase was 0.16%. The holding were 65 shares as of 2021-12-31.', 'Shares added by 6.95% Amazon.com Inc (AMZN) - 4,231 shares, 6.45% of the total portfolio. Shares added by 4.31% Apple Inc (AAPL) - 71,760 shares, 5.83% of the total portfolio. Shares added by 15.12% Costco Wholesale Corp (COST) - 22,019 shares, 5.71% of the total portfolio. Alphabet Inc (GOOGL) - 4,240 shares, 5.62% of the total portfolio.']"
2022-01-21,"[""The Intel investment is the state's largest ever, but the Columbus suburb of New Albany, where Intel will build two chip factories, already has seen an influx of data centers, including from Amazon.com Inc (NASDAQ: ), Facebook (NASDAQ: ) parent Meta and Alphabet (NASDAQ: ) Inc's Google."", 'Sizmek, which makes an ad server primarily for ad agencies, not publishers, filed for chapter 11 bankruptcy protection and was purchased by Amazon.com Inc. in 2019. AT&T Inc. sold Xandr to Microsoft Corp. in December.', 'Shares reduced by 0.69% Amazon.com Inc (AMZN) - 8,807 shares, 2.88% of the total portfolio. Shares reduced by 0.03% Meta Platforms Inc (FB) - 82,245 shares, 2.71% of the total portfolio. Shares added by 0.43%\n\nMastrapasqua Asset Management Inc initiated holding in Cheniere Energy Inc.']"
2022-01-22,"['Mark Cuban is taking on leading online pharmacies Walgreens (WBA) - Get Walgreens Boots Alliance Inc Report, CVS (CVS) - Get CVS Health Corporation Report and Rite Aid (RAD) - Get Rite Aid Corporation Report, as well as newcomer Amazon (AMZN) - Get Amazon.com, Inc. Report, with the launch of his discount e-commerce pharmacy.', ""That's an incredible return when you consider that during the same five-year period Amazon (AMZN) - Get Amazon.com, Inc. Report stock went from $835.77 to $2852.86 while Tesla (TSLA) - Get Tesla Inc Report shares jumped from $50.59 to $943.90."", 'Like JPMorgan Chase & Company (NYSE:JPM), The Coca-Cola Company (NYSE:KO), Amazon.com, Inc. (NASDAQ:AMZN), and Medtronic plc (NYSE:MDT), top stock picks by Morgan Stanley for 2022 worth a look.', 'Like JPMorgan Chase & Company (NYSE:JPM), The Coca-Cola Company (NYSE:KO), Amazon.com, Inc. (NASDAQ:AMZN), and Medtronic plc (NYSE:MDT), FREYR Battery (NYSE:FREY) is a noteworthy stock to invest in this year.\n\n8. Ferrari N.V. (NYSE:RACE)\n\nNumber of Hedge Fund Holders: 27\n\nLike the two stocks above, Ferrari N.V.', 'Like JPMorgan Chase & Company (NYSE:JPM), The Coca-Cola Company (NYSE:KO), Amazon.com, Inc. (NASDAQ:AMZN), and Medtronic plc (NYSE:MDT), Northrop Grumman Corporation (NYSE:NOC) is a stock investors are vying after today.\n\n6.']"
